timestep_number,analysis_time,cycle_time,total_volume_delivered,volumetric_flowrate
0,6.500000182541044e-08,0.1059500053524971,0.0,0.0
1,1.2499999968440534e-07,0.20374999940395355,0.0,0.0
2,1.850000046488276e-07,0.3015500009059906,0.0,0.0
3,2.650000112680573e-07,0.43195003271102905,0.0,0.0
4,3.250000020216248e-07,0.5297499895095825,0.0,0.0
5,3.8499999277519237e-07,0.6275500059127808,0.0,0.0
6,4.4500001195046934e-07,0.725350022315979,0.0,0.0
7,5.050000027040369e-07,0.8231499791145325,0.0,0.0
8,5.649999934576044e-07,0.9209499955177307,0.0,0.0
9,6.24999984211172e-07,1.0187499523162842,0.0,0.0
10,6.849999749647395e-07,1.1165499687194824,0.0,0.0
11,7.450000225617259e-07,1.2143499851226807,0.0,0.0
12,8.050000133152935e-07,1.312150001525879,0.0,0.0
13,8.65000004068861e-07,1.4099500179290771,0.0,0.0
14,9.249999948224286e-07,1.5077500343322754,0.0,0.0
15,9.85000042419415e-07,1.6055500507354736,0.0,0.0
16,1.0449999763295637e-06,1.7033499479293823,0.0,0.0
17,1.10500002392655e-06,1.8011500835418701,0.0,0.0
18,1.1849999737023609e-06,1.9315499067306519,0.0,0.0
19,1.2450000212993473e-06,2.0293500423431396,0.0,0.0
20,1.304999955209496e-06,2.127149820327759,0.0,0.0
21,1.3650000028064824e-06,2.224950075149536,0.0,0.0
22,1.4250000504034688e-06,2.3227500915527344,0.0,0.0
23,1.4849999843136175e-06,2.4205498695373535,0.0,0.0
24,1.5450000319106039e-06,2.518350124359131,0.0,0.0
25,1.6049999658207525e-06,2.61614990234375,0.0,0.0
26,1.665000013417739e-06,2.7139499187469482,0.0,0.0
27,1.7249999473278876e-06,2.8117499351501465,0.0,0.0
28,1.784999994924874e-06,2.9095499515533447,0.0,0.0
29,1.8450000425218605e-06,3.007349967956543,0.0,0.0
30,1.9049999764320091e-06,3.105149984359741,0.0,0.0
31,1.964999910342158e-06,3.2029497623443604,0.0,0.0
32,2.0249999579391442e-06,3.3007500171661377,0.0,0.0
33,2.1050000214017928e-06,3.431149959564209,0.0,0.0
34,2.165000068998779e-06,3.5289502143859863,0.0,0.0
35,2.22499988922209e-06,3.6267497539520264,0.0,0.0
36,2.2849999368190765e-06,3.7245500087738037,0.0,0.0
37,2.344999984416063e-06,3.822350025177002,0.0,0.0
38,2.4050000320130493e-06,3.9201500415802,0.0,0.0
39,2.4650000796100358e-06,4.017950057983398,0.0,0.0
40,2.5249998998333467e-06,4.115749835968018,0.0,0.0
41,2.584999947430333e-06,4.213550090789795,0.0,0.0
42,2.6449999950273195e-06,4.311349868774414,0.0,0.0
43,2.705000042624306e-06,4.409150123596191,0.0,0.0
44,2.7650000902212923e-06,4.506950378417969,0.0,0.0
45,2.8249999104446033e-06,4.60474967956543,0.0,0.0
46,2.8849999580415897e-06,4.702549934387207,0.0,0.0
47,2.945000005638576e-06,4.800350189208984,0.0,0.0
48,3.0250000691012247e-06,4.930749893188477,0.0,0.0
49,3.0849998893245356e-06,5.028549671173096,0.0,0.0
50,3.144999936921522e-06,5.126349925994873,0.0,0.0
51,3.2049999845185084e-06,5.22415018081665,0.0,0.0
52,3.265000032115495e-06,5.3219499588012695,0.0,0.0
53,3.3250000797124812e-06,5.419750213623047,0.0,0.0
54,3.384999899935792e-06,5.517549991607666,0.0,0.0
55,3.4449999475327786e-06,5.615349769592285,0.0,0.0
56,3.504999995129765e-06,5.7131500244140625,0.0,0.0
57,3.5650000427267514e-06,5.81095027923584,0.0,0.0
58,3.625000090323738e-06,5.908750057220459,0.0,0.0
59,3.6849999105470488e-06,6.006549835205078,0.0,0.0
60,3.744999958144035e-06,6.1043500900268555,0.0,0.0
61,3.823020961135626e-06,6.2315239906311035,0.0,0.0
62,3.883021236106288e-06,6.329324722290039,0.0,0.0
63,3.943021056329599e-06,6.427124500274658,0.0,0.0
64,4.00302087655291e-06,6.524923801422119,0.0,0.0
65,4.0630211515235715e-06,6.622724533081055,0.0,0.0
66,4.1230209717468824e-06,6.720524311065674,0.0,0.0
67,4.183021246717544e-06,6.818324565887451,0.0,0.0
68,4.243021066940855e-06,6.91612434387207,0.0,0.0
69,4.303020887164166e-06,7.0139241218566895,0.0,0.0
70,4.363021162134828e-06,7.111724376678467,0.0,0.0
71,4.420922778081149e-06,7.206104278564453,0.0,0.0
72,4.480923053051811e-06,7.3039045333862305,0.0,0.0
73,4.540922873275122e-06,7.40170431137085,0.0,0.0
74,4.62092293673777e-06,7.5321044921875,0.0,0.0
75,4.680922756961081e-06,7.629904270172119,0.0,0.0
76,4.740923031931743e-06,7.7277045249938965,0.0,0.0
77,4.800922852155054e-06,7.825504302978516,0.0,0.0
78,4.860923127125716e-06,7.923304557800293,0.0,0.0
79,4.91635364596732e-06,8.013656616210938,0.0,0.0
80,4.981968686479377e-06,8.120609283447266,0.0,0.0
81,5.040290034230566e-06,8.215672492980957,0.0,0.0
82,5.09970186612918e-06,8.312514305114746,0.0,0.0
83,5.159702141099842e-06,8.410314559936523,0.0,0.0
84,5.219701961323153e-06,8.508113861083984,0.0,0.0
85,5.279702236293815e-06,8.605915069580078,0.0,0.0
86,5.3413464229379315e-06,8.70639419555664,0.0,0.0
87,5.412103746493813e-06,8.821728706359863,0.0,0.0
88,5.4721040214644745e-06,8.919529914855957,0.0,0.0
89,5.525753294932656e-06,9.006978034973145,0.0,0.0
90,5.5874629651953e-06,9.107564926147461,0.0,0.0
91,5.646899808198214e-06,9.204446792602539,0.0,0.0
92,5.721449269913137e-06,9.32596206665039,0.0,0.0
93,5.781449544883799e-06,9.423762321472168,0.0,0.0
94,5.84144936510711e-06,9.521562576293945,0.0,0.0
95,5.901449185330421e-06,9.619361877441406,0.0,0.0
96,5.961449460301083e-06,9.7171630859375,0.0,0.0
97,6.0214492805243935e-06,9.814962387084961,0.0,0.0
98,6.081449555495055e-06,9.912762641906738,0.0,0.0
99,6.14313375990605e-06,10.013307571411133,0.0,0.0
100,6.207179467310198e-06,10.11770248413086,0.0,0.0
101,6.264751391427126e-06,10.21154499053955,0.0,0.0
102,6.336799287964823e-06,10.328983306884766,0.0,0.0
103,6.396799108188134e-06,10.426782608032227,0.0,0.0
104,6.4567993831587955e-06,10.524582862854004,0.0,0.0
105,6.5167992033821065e-06,10.622383117675781,0.0,0.0
106,6.5767990236054175e-06,10.720182418823242,0.0,0.0
107,6.636799298576079e-06,10.81798267364502,0.0,0.0
108,6.69679911879939e-06,10.915782928466797,0.0,0.0
109,6.756799393770052e-06,11.013583183288574,0.0,0.0
110,6.815988854214083e-06,11.110061645507812,0.0,0.0
111,6.880063665448688e-06,11.21450424194336,0.0,0.0
112,6.9336847445811145e-06,11.30190658569336,0.0,0.0
113,6.9936845648044255e-06,11.39970588684082,0.0,0.0
114,7.013684353296412e-06,11.432305335998535,0.0,0.0
115,7.073684628267074e-06,11.530105590820312,0.0,0.0
116,7.133684448490385e-06,11.62790584564209,0.0,0.0
117,7.193684723461047e-06,11.725706100463867,0.0,0.0
118,7.253684543684358e-06,11.823505401611328,0.0,0.0
119,7.313684363907669e-06,11.921305656433105,0.0,0.0
120,7.366672889475012e-06,12.00767707824707,0.0,0.0
121,7.432458460243652e-06,12.114907264709473,0.0,0.0
122,7.4984263846999966e-06,12.222434997558594,0.0,0.0
123,7.556587206636323e-06,12.31723690032959,0.0,0.0
124,7.6165874816069845e-06,12.415037155151367,0.0,0.0
125,7.676587301830295e-06,12.512837409973145,0.0,0.0
126,7.736587576800957e-06,12.610637664794922,0.0,0.0
127,7.796586942276917e-06,12.708436965942383,0.0,0.0
128,7.85658721724758e-06,12.80623722076416,0.0,0.0
129,7.916587492218241e-06,12.904037475585938,0.0,0.0
130,7.976466804393567e-06,13.001641273498535,0.0,0.0
131,8.044273272389546e-06,13.112165451049805,0.0,0.0
132,8.110986527753994e-06,13.220908164978027,0.0,0.0
133,8.164118298736867e-06,13.307513236999512,0.0,0.0
134,8.224118573707528e-06,13.405313491821289,0.0,0.0
135,8.28411884867819e-06,13.503113746643066,0.0,0.0
136,8.344119123648852e-06,13.600914001464844,0.0,0.0
137,8.416934178967495e-06,13.719602584838867,0.0,0.0
138,8.472378794976976e-06,13.809977531433105,0.0,0.0
139,8.532379069947638e-06,13.907777786254883,0.0,0.0
140,8.592271115048788e-06,14.005401611328125,0.0,0.0
141,8.657138096168637e-06,14.111135482788086,0.0,0.0
142,8.716952834220137e-06,14.208633422851562,0.0,0.0
143,8.782168151810765e-06,14.314933776855469,0.0,0.0
144,8.842168426781427e-06,14.412734985351562,0.0,0.0
145,8.902168701752089e-06,14.51053524017334,0.0,0.0
146,8.962168067228049e-06,14.608333587646484,0.0,0.0
147,9.022168342198711e-06,14.706134796142578,0.0,0.0
148,9.082168617169373e-06,14.803935050964355,0.0,0.0
149,9.142167982645333e-06,14.9017333984375,2.904247818845863e-13,3.1767605062158395e-08
150,9.21601622394519e-06,15.022106170654297,7.701450738350493e-12,8.356594163040285e-07
151,9.268323083233554e-06,15.107366561889648,2.7339940724140285e-11,2.949826034182859e-06
152,9.339427379018161e-06,15.2232666015625,9.888785116071536e-11,1.0588213511127626e-05
153,9.392255378770642e-06,15.30937671661377,1.9632663255477546e-10,2.0903033897324966e-05
154,9.452255653741304e-06,15.407176971435547,3.6535001556853643e-10,3.8652151290885475e-05
155,9.512255928711966e-06,15.504977226257324,6.276387595375078e-10,6.598211446803398e-05
156,9.572255294187926e-06,15.602776527404785,1.0311390267881282e-09,0.00010772163874632704
157,9.647404112911317e-06,15.725268363952637,1.939684693384384e-09,0.00020105768045815188
158,9.705114280222915e-06,15.8193359375,3.124644142294484e-09,0.00032195851095353763
159,9.765114555193577e-06,15.917137145996094,4.91145444344939e-09,0.0005029592244606319
160,9.82258643489331e-06,16.01081657409668,7.115643014499599e-09,0.0007244164316256166
161,9.882670383376535e-06,16.108753204345703,9.702396206393033e-09,0.0009817585561401766
162,9.943040822690818e-06,16.207157135009766,1.2129195787250829e-08,0.0012198678456163058
163,1.0009793186327443e-05,16.315963745117188,1.343688952722957e-08,0.001342374340519169
164,1.0069554264191538e-05,16.413373947143555,1.3519128559000811e-08,0.0013425746765252902
165,1.01295545391622e-05,16.511173248291016,1.3519128559000811e-08,0.0013346222192431136
166,1.018955390463816e-05,16.608972549438477,1.3519128559000811e-08,0.0013267635350402405
167,1.0249554179608822e-05,16.70677375793457,1.3519128559000811e-08,0.0013189967409408605
168,1.0309554454579484e-05,16.80457305908203,1.3519128559000811e-08,0.001311320350317917
169,1.0369553820055444e-05,16.902372360229492,1.3915608695762875e-08,0.0013419679320096794
170,1.04306282082689e-05,17.001924514770508,1.664856017578131e-08,0.0015961224811544077
171,1.0504877536732238e-05,17.122949600219727,2.2915926915538783e-08,0.00218145588422226
172,1.0562667739577591e-05,17.217147827148438,2.67673433714794e-08,0.002534146110757986
173,1.0630471479089465e-05,17.327669143676758,2.8148872254995743e-08,0.002647942032520912
174,1.0689995178836398e-05,17.424692153930664,2.815284898548175e-08,0.0026335698486765996
175,1.074999545380706e-05,17.522493362426758,2.8198132494855935e-08,0.0026230832018510016
176,1.0809995728777722e-05,17.62029266357422,2.8379446525917012e-08,0.0026252967381260803
177,1.0869995094253682e-05,17.71809196472168,2.8845161094966015e-08,0.0026536498724102214
178,1.0929995369224343e-05,17.815893173217773,2.9812510456275605e-08,0.0027275867417308223
179,1.0989995644195005e-05,17.913692474365234,3.1518592567205556e-08,0.0028679349462575904
180,1.1049995919165667e-05,18.011493682861328,3.407786262198398e-08,0.003083970606982544
181,1.111253095587017e-05,18.113426208496094,3.754758009756291e-08,0.0033788504389028026
182,1.1167583579663187e-05,18.203161239624023,4.108075902307568e-08,0.0036785718888986967
183,1.1237773833272513e-05,18.31757164001465,4.5870623784553974e-08,0.004081824787106981
184,1.1297774108243175e-05,18.41537094116211,4.966182154939922e-08,0.004395717339857641
185,1.1357773473719135e-05,18.51317024230957,5.1837688163222776e-08,0.004564071319362947
186,1.1417773748689797e-05,18.610971450805664,5.230042206382708e-08,0.004580614681546709
187,1.1477774023660459e-05,18.708770751953125,5.242688739352569e-08,0.00456768771413796
188,1.1537773389136419e-05,18.806570053100586,5.602390167072009e-08,0.004855694403174041
189,1.159777366410708e-05,18.90437126159668,6.353736140216755e-08,0.005478410188224632
190,1.1657773939077742e-05,19.002172470092773,6.86836697393004e-08,0.005891662516208822
191,1.173301825474482e-05,19.124818801879883,7.044520212126903e-08,0.006004013681030545
192,1.1786962204496376e-05,19.21274757385254,7.120842856652596e-08,0.006041287596507441
193,1.1840319530165289e-05,19.299720764160156,7.339960450529561e-08,0.006199123623167201
194,1.1860319318657275e-05,19.332321166992188,7.545294735185866e-08,0.0063617972943751065
195,1.1920319593627937e-05,19.43012046813965,8.77639914171794e-08,0.007362553556373946
196,1.1980319868598599e-05,19.527921676635742,1.0127535832888544e-07,0.008453476988902146
197,1.2040319234074559e-05,19.625720977783203,1.0817177887616087e-07,0.008984128806986333
198,1.2100319509045221e-05,19.723520278930664,1.1133807354146167e-07,0.009201250715589313
199,1.2160013284301385e-05,19.82082176208496,1.1491026602350106e-07,0.009449847079677994
200,1.2220013559272047e-05,19.918622970581055,1.1866785583028726e-07,0.009710943057035066
201,1.2274056643946096e-05,20.006711959838867,1.2182271010897886e-07,0.009925219806531134
