timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
56,3.496930048640934e-06,5.699995994567871,12684778.0,-0.0,-0.0
57,3.5582800137490267e-06,5.799996376037598,11669194.0,-0.0,-0.0
58,3.61962997885712e-06,5.899996757507324,8594344.0,-0.0,-0.0
59,3.680979943965213e-06,5.999997138977051,12721120.0,-0.0,-0.0
60,3.742329909073305e-06,6.099997520446777,26425042.0,-0.0,-0.0
61,3.8036801015550736e-06,6.199998378753662,22987092.0,-0.0,-0.0
62,3.865030066663167e-06,6.299999237060547,18420472.0,-0.0,-0.0
63,3.926380031771259e-06,6.399999618530273,13025682.0,-0.0,-0.0
64,3.987729996879352e-06,6.5,12702002.0,-0.0,-0.0
65,4.049079961987445e-06,6.600000381469727,16397180.0,-0.0,-0.0
66,4.116090167372022e-06,6.709227085113525,25274324.0,-0.0,-0.0
67,4.1708799471962266e-06,6.798534393310547,20442756.0,-0.0,-0.0
68,4.23222991230432e-06,6.898534774780273,15103134.0,-0.0,-0.0
69,4.299180091038579e-06,7.007663726806641,25380206.0,-0.0,-0.0
70,4.3550298869377e-06,7.098698616027832,40115848.0,-0.0,-0.0
71,4.426190116646467e-06,7.2146897315979,28529306.0,-0.0,-0.0
72,4.487229944061255e-06,7.314184665679932,21085914.0,-0.0,-0.0
73,4.548579909169348e-06,7.414185047149658,17629854.0,-0.0,-0.0
74,4.609929874277441e-06,7.514185905456543,15845042.0,-0.0,-0.0
75,4.6707000365131535e-06,7.613241195678711,23337178.0,-0.0,-0.0
76,4.730450200440828e-06,7.710633754730225,25443834.0,-0.0,-0.0
77,4.7884200284897815e-06,7.805124759674072,18538294.0,-0.0,-0.0
78,4.849090146308299e-06,7.904016971588135,18450906.0,-0.0,-0.0
79,4.912640179099981e-06,8.007603645324707,44139156.0,-0.0,-0.0
80,4.969850124325603e-06,8.100855827331543,39963228.0,-0.0,-0.0
81,5.031020009482745e-06,8.200562477111816,33254574.0,-0.0,-0.0
82,5.091440016258275e-06,8.299047470092773,22900362.0,-0.0,-0.0
83,5.152789981366368e-06,8.3990478515625,22916332.0,-0.0,-0.0
84,5.214139946474461e-06,8.499048233032227,20481024.0,-0.0,-0.0
85,5.282030087983003e-06,8.609708786010742,24872958.0,-0.0,-0.0
86,5.343249995348742e-06,8.709497451782227,41811784.0,-0.0,-0.0
87,5.406980108091375e-06,8.813377380371094,22257924.0,-0.0,-0.0
88,5.46689989278093e-06,8.911046981811523,14347557.0,-0.0,-0.0
89,5.5263399190153e-06,9.007933616638184,34429980.0,1.0720694929886514e-11,1.939926802728552e-06
90,5.5837199397501536e-06,9.101463317871094,38949204.0,1.1620539690125899e-10,2.08114658605995e-05
91,5.652989784721285e-06,9.214373588562012,30989614.0,5.478285634750103e-10,9.690952652270192e-05
92,5.712409802072216e-06,9.311227798461914,25900042.0,1.1943299757584495e-09,0.000209076382322
93,5.767659786215518e-06,9.401285171508787,23858848.0,1.9542136558817992e-09,0.0003388226296828
94,5.8290102060709614e-06,9.501286506652832,19986328.0,2.952995186866795e-09,0.0005066031937619
95,5.890360171179054e-06,9.60128688812256,20850166.0,4.164388874511107e-09,0.0007069837418239
96,5.955680080660386e-06,9.707758903503418,22280464.0,5.887480252456055e-09,0.0009885487757433
97,6.013759957568254e-06,9.80242919921875,16706045.0,8.019983129417815e-09,0.0013336054624735
98,6.075109922676347e-06,9.902429580688477,14262959.0,1.0615291966646051e-08,0.0017473415463681
99,6.138759999885224e-06,10.006178855895996,33493830.0,1.2563077020606074e-08,0.0020465170524407
100,6.197410129971104e-06,10.101778984069824,40929936.0,1.3184425176300312e-08,0.0021274088530206
101,6.263169780140743e-06,10.208967208862305,32231466.0,1.325324194553017e-08,0.0021160598244603
102,6.32404999123537e-06,10.308201789855955,31046360.0,1.325324194553017e-08,0.0020956889910576
103,6.385399956343463e-06,10.408202171325684,26536360.0,1.325324194553017e-08,0.0020755539255397
104,6.446749921451556e-06,10.50820255279541,33999520.0,1.325324194553017e-08,0.0020558020874099
105,6.50489982945146e-06,10.602986335754396,63769728.0,1.325324194553017e-08,0.0020374244481867
106,6.564730028912891e-06,10.700510025024414,56255892.0,1.325324194553017e-08,0.0020188555945422
107,6.625609785260167e-06,10.79974365234375,28724968.0,1.325324194553017e-08,0.0020003052360575
108,6.690840109513374e-06,10.9060697555542,24023598.0,1.3256732309807738e-08,0.0019813255275609
109,6.751440196239855e-06,11.004847526550291,51856520.0,1.3324331946524746e-08,0.0019735540209547
110,6.810249942645896e-06,11.100707054138184,45060204.0,1.359226755710987e-08,0.0019958544358254
111,6.872230187582318e-06,11.201735496520996,33687700.0,1.7790455117183483e-08,0.0025887455209707
112,6.943149855942465e-06,11.317334175109863,25764248.0,2.8084116475985892e-08,0.004044866819625
113,7.004499821050558e-06,11.41733455657959,20203154.0,3.32040200562096e-08,0.0047403841679632
114,7.065849786158651e-06,11.517334938049316,22556120.0,3.8336013541961896e-08,0.0054255347484259
115,7.124299827410141e-06,11.612608909606934,28297488.0,4.4485219668196967e-08,0.0062441532144736
116,7.179100066423416e-06,11.701932907104492,25192956.0,4.64833512162852e-08,0.0064748158942215
