timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
115,5.712409802072216e-06,9.311227798461914,25830302.0,1.221737580531432e-09,0.0002138742882361553
116,5.767662059952272e-06,9.401288986206055,23858846.0,2.010169622831224e-09,0.0003485241683608381
117,5.829011570313014e-06,9.501288414001465,19986328.0,3.0462130491066066e-09,0.0005225951282411037
118,5.890361080673756e-06,9.601288795471191,20850224.0,4.317720752576557e-09,0.0007330146137802955
119,5.955677352176281e-06,9.707754135131836,23011830.0,6.161460293395774e-09,0.0010345523991732524
120,6.01376268605236e-06,9.802433013916016,22363830.0,8.467728482357814e-09,0.0014080583029983714
121,6.075112196413102e-06,9.902432441711426,18179612.0,1.1273336180891366e-08,0.001855658927179555
122,6.138761818874627e-06,10.006181716918945,33493890.0,1.3342128395187514e-08,0.002173423369215101
123,6.197405582497595e-06,10.101771354675293,40929932.0,1.3979278401893539e-08,0.0022556662164201617
124,6.263172053877497e-06,10.208970069885254,32240652.0,1.4048968305492938e-08,0.0022431075155911286
125,6.324054538708879e-06,10.308208465576172,31440078.0,1.4048968305492938e-08,0.002221512831602047
126,6.385404049069621e-06,10.408208847045898,27602970.0,1.4048968305492938e-08,0.0022001690413843006
127,6.4467540141777135e-06,10.508209228515625,33999748.0,1.4048968305492938e-08,0.002179231327051788
128,6.504897555714706e-06,10.602983474731445,63765324.0,1.4048968305492938e-08,0.002159752430405393
129,6.564734121639049e-06,10.700516700744629,56255896.0,1.4048968305492938e-08,0.0021400666112560344
130,6.633416887780186e-06,10.812469482421875,23679768.0,1.4048968305492938e-08,0.0021179082429408865
131,6.690841928502778e-06,10.906072616577148,24023598.0,1.4051911152216147e-08,0.002100170845817691
132,6.751436103513697e-06,11.004840850830078,51856524.0,1.4119786168403777e-08,0.002091375220311323
133,6.810250397393247e-06,11.1007080078125,45060204.0,1.4395514687391734e-08,0.002113801086212908
134,6.872229278087616e-06,11.201733589172363,33743644.0,1.8616364560730494e-08,0.0027089265807951914
135,6.943147582205711e-06,11.317330360412598,25775852.0,2.902055312520201e-08,0.004179740208832305
136,7.004497547313804e-06,11.417330741882324,20203094.0,3.423240152782908e-08,0.004887203014434214
137,7.065847057674546e-06,11.51733112335205,22556120.0,3.9445133359729314e-08,0.005582505966766732
138,7.124298463168088e-06,11.612606048583984,28301546.0,4.570951347408755e-08,0.006416002040116816
139,7.179095518949907e-06,11.701925277709961,25192954.0,4.77990535403906e-08,0.0066580885313784225
140,7.248624115163693e-06,11.81525707244873,16121110.0,5.09922886179851e-08,0.0070347541558007185
141,7.309973625524435e-06,11.915257453918457,24810624.0,5.729966222148789e-08,0.007838559365168307
142,7.364973043877399e-06,12.004905700683594,40659272.0,6.943896503851764e-08,0.009428271444420723
143,7.430736332025845e-06,12.112100601196289,35548168.0,8.833234633144488e-08,0.011887428430307767
