timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
0,6.500000182541044e-08,0.1059500053524971,5910.2958984375,0.0,0.0
1,1.2499999968440534e-07,0.20374999940395355,59989.64453125,0.0,0.0
2,1.850000046488276e-07,0.3015500009059906,92106.890625,0.0,0.0
3,2.650000112680573e-07,0.43195003271102905,130746.0703125,0.0,0.0
4,3.250000020216248e-07,0.5297499895095825,226480.1875,0.0,0.0
5,3.8499999277519237e-07,0.6275500059127808,236127.8125,0.0,0.0
6,4.4500001195046934e-07,0.725350022315979,206150.75,0.0,0.0
7,5.050000027040369e-07,0.8231499791145325,122450.828125,0.0,0.0
8,5.649999934576044e-07,0.9209499955177307,146842.921875,0.0,0.0
9,6.24999984211172e-07,1.0187499523162842,257422.109375,0.0,0.0
10,6.849999749647395e-07,1.1165499687194824,320115.09375,0.0,0.0
11,7.450000225617259e-07,1.2143499851226807,276411.25,0.0,0.0
12,8.050000133152935e-07,1.312150001525879,159214.40625,0.0,0.0
13,8.65000004068861e-07,1.4099500179290771,121300.4140625,0.0,0.0
14,9.249999948224286e-07,1.5077500343322754,295654.125,0.0,0.0
15,9.85000042419415e-07,1.6055500507354736,387046.3125,0.0,0.0
16,1.0449999763295637e-06,1.7033499479293823,264300.34375,0.0,0.0
17,1.10500002392655e-06,1.8011500835418701,97728.921875,0.0,0.0
18,1.1849999737023609e-06,1.9315499067306519,186614.234375,0.0,0.0
19,1.2450000212993473e-06,2.0293500423431396,335851.375,0.0,0.0
20,1.304999955209496e-06,2.127149820327759,309484.90625,0.0,0.0
21,1.3650000028064824e-06,2.224950075149536,237521.921875,0.0,0.0
22,1.4250000504034688e-06,2.3227500915527344,186791.6875,0.0,0.0
23,1.4849999843136175e-06,2.4205498695373535,144908.359375,0.0,0.0
24,1.5450000319106039e-06,2.518350124359131,294107.0625,0.0,0.0
25,1.6049999658207525e-06,2.61614990234375,357394.1875,0.0,0.0
26,1.665000013417739e-06,2.7139499187469482,176041.3125,0.0,0.0
27,1.7249999473278876e-06,2.8117499351501465,110557.0,0.0,0.0
28,1.784999994924874e-06,2.9095499515533447,187471.46875,0.0,0.0
29,1.8450000425218605e-06,3.007349967956543,285410.5625,0.0,0.0
30,1.9049999764320091e-06,3.105149984359741,303356.75,0.0,0.0
31,1.964999910342158e-06,3.2029497623443604,285253.1875,0.0,0.0
32,2.0249999579391442e-06,3.3007500171661377,234460.796875,0.0,0.0
33,2.1050000214017928e-06,3.431149959564209,157358.796875,0.0,0.0
34,2.165000068998779e-06,3.5289502143859863,178192.34375,0.0,0.0
35,2.22499988922209e-06,3.6267497539520264,191605.5625,0.0,0.0
36,2.2849999368190765e-06,3.7245500087738037,156253.71875,0.0,0.0
37,2.344999984416063e-06,3.822350025177002,121974.234375,0.0,0.0
38,2.4050000320130493e-06,3.9201500415802,166054.234375,0.0,0.0
39,2.4650000796100358e-06,4.017950057983398,213734.78125,0.0,0.0
40,2.5249998998333467e-06,4.115749835968018,260040.40625,0.0,0.0
41,2.584999947430333e-06,4.213550090789795,159863.578125,0.0,0.0
42,2.6449999950273195e-06,4.311349868774414,155819.96875,0.0,0.0
43,2.705000042624306e-06,4.409150123596191,143290.65625,0.0,0.0
44,2.7650000902212923e-06,4.506950378417969,163046.234375,0.0,0.0
45,2.8249999104446033e-06,4.60474967956543,195118.265625,0.0,0.0
46,2.8849999580415897e-06,4.702549934387207,147477.921875,0.0,0.0
47,2.945000005638576e-06,4.800350189208984,106816.8359375,0.0,0.0
48,3.0250000691012247e-06,4.930749893188477,170120.84375,0.0,0.0
49,3.0849998893245356e-06,5.028549671173096,228186.578125,0.0,0.0
50,3.144999936921522e-06,5.126349925994873,214494.75,0.0,0.0
51,3.2049999845185084e-06,5.22415018081665,192730.78125,0.0,0.0
52,3.265000032115495e-06,5.3219499588012695,164968.78125,0.0,0.0
53,3.3250000797124812e-06,5.419750213623047,142445.25,0.0,0.0
54,3.384999899935792e-06,5.517549991607666,206578.296875,0.0,0.0
55,3.4449999475327786e-06,5.615349769592285,241927.140625,0.0,0.0
56,3.504999995129765e-06,5.7131500244140625,185317.75,0.0,0.0
57,3.5650000427267514e-06,5.81095027923584,159117.859375,0.0,0.0
58,3.625000090323738e-06,5.908750057220459,222814.84375,0.0,0.0
59,3.6849999105470488e-06,6.006549835205078,355574.90625,0.0,0.0
60,3.744999958144035e-06,6.1043500900268555,378179.90625,0.0,0.0
61,3.8050000057410216e-06,6.202149868011475,302155.53125,0.0,0.0
62,3.865000053338008e-06,6.299950122833252,216115.84375,0.0,0.0
63,3.884999841829995e-06,6.332549571990967,202305.21875,0.0,0.0
64,3.9450001168006565e-06,6.430350303649902,163850.390625,0.0,0.0
65,4.0049999370239675e-06,6.5281500816345215,158933.515625,0.0,0.0
66,4.065000211994629e-06,6.625950336456299,182182.8125,0.0,0.0
67,4.12500003221794e-06,6.723750114440918,156575.5625,0.0,0.0
68,4.184999852441251e-06,6.821549892425537,124922.0234375,0.0,0.0
69,4.245000127411913e-06,6.9193501472473145,141690.796875,0.0,0.0
70,4.304999947635224e-06,7.017149925231934,228421.3125,0.0,0.0
71,4.365000222605886e-06,7.114950180053711,268154.96875,0.0,0.0
