timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
0,6.500000182541044e-08,0.1059500053524971,14039.048828125,0.0,0.0
1,1.2499999968440534e-07,0.20374999940395355,198453.21875,0.0,0.0
2,1.850000046488276e-07,0.3015500009059906,204431.234375,0.0,0.0
3,2.650000112680573e-07,0.43195003271102905,330612.59375,0.0,0.0
4,3.250000020216248e-07,0.5297499895095825,789878.375,0.0,0.0
5,3.8499999277519237e-07,0.6275500059127808,748542.9375,0.0,0.0
6,4.4500001195046934e-07,0.725350022315979,606722.0,0.0,0.0
7,5.050000027040369e-07,0.8231499791145325,370326.0625,0.0,0.0
8,5.649999934576044e-07,0.9209499955177307,450310.59375,0.0,0.0
9,6.24999984211172e-07,1.0187499523162842,866339.8125,0.0,0.0
10,6.849999749647395e-07,1.1165499687194824,1232182.375,0.0,0.0
11,7.450000225617259e-07,1.2143499851226807,723703.0625,0.0,0.0
12,8.050000133152935e-07,1.312150001525879,525351.125,0.0,0.0
13,8.65000004068861e-07,1.4099500179290771,412631.03125,0.0,0.0
14,9.249999948224286e-07,1.5077500343322754,564876.5625,0.0,0.0
15,9.85000042419415e-07,1.6055500507354736,861736.3125,0.0,0.0
16,1.0449999763295637e-06,1.7033499479293823,709896.375,0.0,0.0
17,1.10500002392655e-06,1.8011500835418701,570244.6875,0.0,0.0
18,1.1849999737023609e-06,1.9315499067306519,527155.125,0.0,0.0
19,1.2450000212993473e-06,2.0293500423431396,1012130.5,0.0,0.0
20,1.304999955209496e-06,2.127149820327759,1108440.125,0.0,0.0
21,1.3650000028064824e-06,2.224950075149536,768160.5625,0.0,0.0
22,1.4250000504034688e-06,2.3227500915527344,596277.875,0.0,0.0
23,1.4849999843136175e-06,2.4205498695373535,529946.75,0.0,0.0
24,1.5450000319106039e-06,2.518350124359131,1066089.75,0.0,0.0
25,1.6049999658207525e-06,2.61614990234375,1337407.75,0.0,0.0
26,1.665000013417739e-06,2.7139499187469482,1291070.75,0.0,0.0
27,1.7249999473278876e-06,2.8117499351501465,693856.25,0.0,0.0
28,1.784999994924874e-06,2.9095499515533447,593187.375,0.0,0.0
29,1.8450000425218605e-06,3.007349967956543,1402626.5,0.0,0.0
30,1.9049999764320091e-06,3.105149984359741,1977067.375,0.0,0.0
31,1.964999910342158e-06,3.2029497623443604,1419487.625,0.0,0.0
32,2.0249999579391442e-06,3.3007500171661377,1061194.125,0.0,0.0
33,2.1050000214017928e-06,3.431149959564209,863752.125,0.0,0.0
34,2.165000068998779e-06,3.5289502143859863,866729.875,0.0,0.0
35,2.22499988922209e-06,3.6267497539520264,1063272.375,0.0,0.0
36,2.2849999368190765e-06,3.7245500087738037,917484.0,0.0,0.0
37,2.344999984416063e-06,3.822350025177002,618940.0,0.0,0.0
38,2.4050000320130493e-06,3.9201500415802,952162.75,0.0,0.0
39,2.4650000796100358e-06,4.017950057983398,1794186.125,0.0,0.0
40,2.5249998998333467e-06,4.115749835968018,2199829.0,0.0,0.0
41,2.584999947430333e-06,4.213550090789795,2029961.875,0.0,0.0
42,2.6449999950273195e-06,4.311349868774414,1574839.0,0.0,0.0
43,2.705000042624306e-06,4.409150123596191,1274517.0,0.0,0.0
44,2.7650000902212923e-06,4.506950378417969,1349724.875,0.0,0.0
45,2.8249999104446033e-06,4.60474967956543,1504398.25,0.0,0.0
46,2.8849999580415897e-06,4.702549934387207,1323585.625,0.0,0.0
47,2.945000005638576e-06,4.800350189208984,900963.0,0.0,0.0
48,3.0250000691012247e-06,4.930749893188477,982662.25,0.0,0.0
49,3.0849998893245356e-06,5.028549671173096,1688840.5,0.0,0.0
50,3.144999936921522e-06,5.126349925994873,2118488.5,0.0,0.0
51,3.2049999845185084e-06,5.22415018081665,2012600.625,0.0,0.0
52,3.265000032115495e-06,5.3219499588012695,1804005.5,0.0,0.0
53,3.3250000797124812e-06,5.419750213623047,1503835.75,0.0,0.0
54,3.384999899935792e-06,5.517549991607666,1506007.25,0.0,0.0
