timestep_number,analysis_time,cycle_time,max_shearrate,total_volume_delivered,volumetric_flowrate
0,6.134969510185329e-08,0.10000000149011612,23906.416015625,0.0,0.0
1,1.2269939020370657e-07,0.20000000298023224,169312.078125,0.0,0.0
2,1.8404908530555986e-07,0.30000001192092896,131970.78125,0.0,0.0
3,1.9631902148375957e-07,0.3199999928474426,134683.84375,0.0,0.0
4,2.4539878040741314e-07,0.4000000059604645,359573.4375,0.0,0.0
5,2.5766871658561286e-07,0.42000001668930054,464716.75,0.0,0.0
6,3.067484612984117e-07,0.5,717993.625,0.0,0.0
7,3.680981706111197e-07,0.6000000238418579,894588.4375,0.0,0.0
8,4.294478515021183e-07,0.699999988079071,777962.5,0.0,0.0
9,4.907975608148263e-07,0.800000011920929,450087.0,0.0,0.0
10,5.521472417058249e-07,0.8999999761581421,579240.25,0.0,0.0
11,6.134969225968234e-07,1.0,1305368.25,0.0,0.0
12,6.74846603487822e-07,1.0999999046325684,1103010.75,0.0,0.0
13,7.361963412222394e-07,1.2000000476837158,774411.5,0.0,0.0
14,7.97546022113238e-07,1.3000000715255737,634600.125,0.0,0.0
15,8.588957030042366e-07,1.399999976158142,933264.0,0.0,0.0
16,9.202453838952351e-07,1.5,2012988.5,0.0,0.0
17,9.815951216296526e-07,1.600000023841858,2562672.0,0.0,0.0
18,1.0429447456772323e-06,1.6999999284744263,2218216.25,0.0,0.0
19,1.1042944834116497e-06,1.7999999523162842,1047229.0625,0.0,0.0
20,1.1165643627464306e-06,1.8199999332427979,867510.0,0.0,0.0
21,1.1656442211460671e-06,1.9000000953674316,1762111.625,0.0,0.0
22,1.2269938451936468e-06,2.0,3335284.5,0.0,0.0
23,1.2392638382152654e-06,2.0199999809265137,3606999.0,0.0,0.0
24,1.2883435829280643e-06,2.1000001430511475,2916262.0,0.0,0.0
25,1.3006134622628451e-06,2.119999885559082,2821929.5,0.0,0.0
26,1.349693206975644e-06,2.1999998092651367,2426556.75,0.0,0.0
27,1.3619631999972626e-06,2.2200000286102295,2258441.75,0.0,0.0
28,1.4110429447100614e-06,2.299999952316284,1896485.0,0.0,0.0
29,1.42331293773168e-06,2.320000171661377,1832300.75,0.0,0.0
30,1.4723926824444789e-06,2.4000000953674316,1729122.25,0.0,0.0
31,1.4846625617792597e-06,2.4200000762939453,1751857.5,0.0,0.0
32,1.5337423064920586e-06,2.5,2154418.25,0.0,0.0
33,1.5460122995136771e-06,2.5199999809265137,2299040.5,0.0,0.0
34,1.595092044226476e-06,2.6000001430511475,2934395.5,0.0,0.0
35,1.6073619235612568e-06,2.619999885559082,3226254.25,0.0,0.0
36,1.6564416682740557e-06,2.6999998092651367,4160267.0,0.0,0.0
37,1.6687116612956743e-06,2.7200000286102295,4009301.0,0.0,0.0
38,1.7177914060084731e-06,2.799999952316284,2508281.5,0.0,0.0
39,1.7300613990300917e-06,2.820000171661377,1836344.75,0.0,0.0
40,1.7791411437428906e-06,2.9000000953674316,1988064.75,0.0,0.0
41,1.7914110230776714e-06,2.9200000762939453,2796376.75,0.0,0.0
42,1.8404907677904703e-06,3.0,6428758.0,0.0,0.0
43,1.8527607608120888e-06,3.0199999809265137,7091134.0,0.0,0.0
44,1.9018405055248877e-06,3.1000001430511475,6818367.0,0.0,0.0
45,1.9141104985465063e-06,3.120000123977661,6636189.5,0.0,0.0
46,1.963190243259305e-06,3.200000047683716,5950244.0,0.0,0.0
47,1.9754602362809237e-06,3.2200002670288086,5686442.5,0.0,0.0
48,2.0245399809937226e-06,3.3000001907348633,4663728.0,0.0,0.0
49,2.0368097466416657e-06,3.319999933242798,4486085.5,0.0,0.0
50,2.0858894913544646e-06,3.3999998569488525,4206958.0,0.0,0.0
51,2.098159484376083e-06,3.4200000762939453,4274390.0,0.0,0.0
52,2.147239229088882e-06,3.5,6249125.5,0.0,0.0
53,2.1595092221105006e-06,3.5199999809265137,6550141.5,0.0,0.0
54,2.2085889668232994e-06,3.5999999046325684,6890043.5,0.0,0.0
55,2.220858959844918e-06,3.620000123977661,6768992.0,0.0,0.0
56,2.269938704557717e-06,3.700000047683716,7946133.0,0.0,0.0
57,2.2822086975793354e-06,3.7200002670288086,7215742.0,0.0,0.0
58,2.3312884422921343e-06,3.8000001907348633,4688599.5,0.0,0.0
59,2.3435582079400774e-06,3.819999933242798,3969749.5,0.0,0.0
60,2.3926379526528763e-06,3.8999998569488525,3662782.75,0.0,0.0
61,2.404907945674495e-06,3.919999837875366,5016255.0,0.0,0.0
62,2.4539876903872937e-06,4.0,12048930.0,0.0,0.0
63,2.515337428121711e-06,4.099999904632568,20315852.0,0.0,0.0
64,2.5766871658561286e-06,4.200000286102295,12890304.0,0.0,0.0
65,2.638036903590546e-06,4.300000190734863,9620543.0,0.0,0.0
66,2.699386413951288e-06,4.399999618530273,8607804.0,0.0,0.0
