droplet_id,volume,ux,uy,uz,vx,vy,vz
1,2.848080e-16,5.076728e-05,-7.191277e-06,5.338770e-04,-7.254914e-01,3.117120e-01,1.906503e+01
2,1.015485e-16,6.568004e-05,-7.297766e-06,5.487287e-04,-2.128635e+00,-3.396283e-01,1.272689e+01
3,7.988677e-12,7.127027e-08,6.581778e-08,3.871446e-04,-7.287224e-03,-6.412480e-03,6.051505e+00
4,4.554180e-18,5.468717e-05,-3.127113e-06,5.482281e-04,-5.230115e-02,-7.936963e-02,7.417974e+00
5,2.177399e-18,7.186837e-05,-1.250834e-05,5.315932e-04,-1.351185e-01,-2.245174e-02,7.967435e+00
6,2.964423e-17,5.510298e-05,-9.773283e-06,5.426804e-04,-3.962024e-01,8.571827e-01,4.670653e+00
7,3.982881e-18,5.937379e-05,-1.718684e-05,5.283860e-04,-2.784157e-03,6.875772e-02,4.462197e+00
8,4.643806e-18,5.937583e-05,-1.718710e-05,5.347977e-04,2.550808e-02,-3.596773e-01,4.359145e+00
9,2.748770e-18,6.249662e-05,-1.405821e-05,5.380856e-04,2.889579e-02,-8.016957e-02,3.424070e+00
10,7.587594e-18,6.443573e-05,8.560720e-06,5.360825e-04,3.152121e+00,-1.104465e+00,1.425036e+01
11,4.772337e-18,5.702972e-05,7.814692e-06,5.469574e-04,3.978841e-02,-4.395250e-02,6.418118e+00
12,2.484310e-18,5.000174e-05,1.797416e-05,5.372730e-04,-9.717253e-02,2.404936e-01,1.672793e+00
13,4.518894e-18,2.611544e-05,8.593633e-06,5.044094e-04,-1.342858e+00,-1.848084e-01,4.366029e+00
14,1.506003e-18,3.188895e-05,8.446170e-06,5.188638e-04,2.436307e-01,4.563154e-02,4.163280e+00
15,2.404020e-18,3.828086e-05,3.901814e-06,5.241963e-04,2.741763e-02,3.753001e-03,1.293756e+00
16,1.141262e-17,4.135278e-05,9.283414e-06,5.358179e-04,6.489767e-02,-1.369447e+00,6.512001e+00
17,4.802002e-18,4.062294e-05,1.640891e-05,5.462436e-04,-5.030468e-02,-2.090703e-02,5.886551e+00
18,5.842101e-18,3.979761e-05,9.062855e-06,5.384281e-04,1.807918e-01,1.478076e-02,2.756595e+00
19,9.671566e-17,3.502693e-05,-3.940254e-06,5.035524e-04,-6.456483e-01,4.038799e-01,5.378602e+00
20,4.744903e-17,2.709774e-05,-4.158550e-06,5.231745e-04,-8.008126e-02,-8.967031e-01,4.768280e+00
21,1.741590e-18,2.740539e-05,-1.334714e-05,5.098143e-04,-7.807131e-02,6.467269e-01,5.535062e+00
22,2.872488e-18,2.812961e-05,-1.328654e-05,5.165280e-04,3.665324e-02,1.396205e+00,3.746486e+00
23,1.345173e-18,3.281245e-05,-6.247890e-06,5.108770e-04,7.326227e-02,-1.476077e-02,1.718564e+00
24,4.374242e-18,3.671940e-05,-7.821831e-06,5.115785e-04,-1.420300e-01,9.861630e-02,1.284068e+00
25,2.033700e-17,-2.130971e-05,-1.460400e-04,4.785881e-04,1.356583e+00,5.433386e-01,2.396575e+00
26,2.430654e-19,5.860928e-06,-1.417978e-04,4.783646e-04,-3.095747e+00,1.751106e+00,2.518947e-01
27,5.806394e-17,2.283113e-06,-1.017879e-04,4.860121e-04,-1.529803e+00,-2.937516e-01,1.047408e+01
28,3.807643e-19,-9.764040e-06,-1.230482e-04,4.783644e-04,3.224801e-01,-6.974192e-01,7.731320e+00
29,9.506841e-18,-6.386402e-06,-1.000114e-04,4.801264e-04,7.957098e-01,4.735406e-01,4.858742e+00
30,2.556857e-17,6.934755e-06,-1.070466e-04,4.798943e-04,2.648394e-01,-6.723849e-01,2.556155e+00
31,1.165544e-17,1.183679e-05,-1.076788e-04,4.800800e-04,-1.258758e+00,6.332789e-01,6.579307e+00
32,5.347117e-19,1.132790e-05,-1.078089e-04,4.744680e-04,1.051647e+00,1.393554e+00,-1.905192e+00
33,1.000604e-18,1.952973e-06,-1.013698e-04,4.723397e-04,-2.432054e+00,-1.896556e+00,-1.203401e+00
34,6.284166e-19,9.765873e-06,5.976626e-05,4.771996e-04,1.460047e+00,-1.454468e+00,7.030814e+00
35,2.721544e-19,1.054685e-05,5.976493e-05,4.752437e-04,1.981114e+00,1.802555e+00,3.001495e+00
36,3.006826e-19,9.766048e-06,6.054515e-05,4.760241e-04,1.656266e+00,6.544220e-01,5.109190e+00
37,2.602511e-19,1.054737e-05,5.820365e-05,4.721207e-04,3.183420e-03,-2.522743e+00,-4.582080e+00
38,2.447591e-19,1.054701e-05,5.898462e-05,4.729002e-04,-1.076693e-02,-2.718859e+00,-2.517244e+00
