droplet_id,volume,ux,uy,uz,vx,vy,vz
1,1.453382e-18,-3.821842e-05,1.867155e-05,5.007837e-04,6.022625e-02,-5.065740e-01,2.958945e+00
2,8.943563e-17,-4.024885e-05,5.339792e-08,4.932568e-04,-1.918710e-01,2.583292e-01,9.540905e+00
3,1.905932e-18,-5.091284e-05,-1.562510e-06,4.889812e-04,-5.182221e-01,-2.129686e-01,4.824458e+00
4,4.060506e-18,-3.603900e-05,-1.611556e-06,4.912514e-04,-1.426883e-01,-8.056763e-01,1.313394e+01
5,2.920116e-17,-4.176117e-05,-9.331696e-06,4.948989e-04,-4.861769e-01,1.776429e-01,1.394268e+01
6,6.005225e-18,-3.436751e-05,-1.796138e-05,4.957894e-04,2.689978e-01,-1.487060e-01,9.242415e+00
7,7.985356e-12,7.155410e-08,7.723949e-08,3.854882e-04,3.996625e-03,7.603305e-03,-6.537625e+00
8,3.048670e-17,-5.216301e-05,-4.288428e-06,4.823056e-04,8.715814e-01,3.813786e+00,4.382144e+00
9,2.713420e-18,-4.141481e-05,-1.172149e-05,4.996954e-04,-7.489917e-02,-3.248041e-01,7.158360e+00
10,2.333370e-18,-3.437399e-05,-1.561690e-05,4.856690e-04,-2.539185e-01,-5.626186e-01,4.242985e+00
11,1.080551e-17,-4.240440e-05,-1.836931e-05,4.784584e-04,-2.402889e-01,1.361704e+00,4.312399e+00
12,1.835504e-18,-3.761100e-05,-1.691886e-06,4.976213e-04,-1.460653e+00,1.395684e+00,1.747234e+01
13,1.281329e-18,-3.436744e-05,-1.250207e-05,4.813879e-04,-3.665004e-01,1.717259e+00,1.890535e+00
14,5.440430e-18,-4.654723e-05,-8.624444e-06,5.005896e-04,2.364235e-01,-3.406558e-01,1.348411e+01
15,1.537976e-18,-3.436218e-05,-1.170441e-05,4.977746e-04,9.370841e-02,-5.399498e-01,7.053679e+00
16,1.960475e-18,-4.619864e-05,-8.592833e-06,4.882142e-04,1.619810e-01,-1.427360e-01,6.635408e+00
