droplet_id,volume,ux,uy,uz,vx,vy,vz
1,3.974890e-18,-1.406844e-04,2.031996e-05,5.286328e-04,6.368878e-01,-1.090630e+00,7.727252e+00
2,2.009938e-16,-1.259710e-04,-1.149690e-05,5.415652e-04,-6.763830e-01,-3.772137e-01,1.167196e+01
3,5.403353e-16,-1.413507e-04,-1.150269e-05,5.403909e-04,-6.189445e-01,-4.948541e-01,6.256063e+00
4,1.745349e-16,-1.312748e-04,1.419643e-05,5.438753e-04,2.875490e-01,4.765650e-01,6.940844e+00
5,7.386371e-18,-1.429314e-04,-1.053063e-05,5.462105e-04,1.114965e+00,4.372479e-01,8.660056e+00
6,4.123967e-18,-1.437497e-04,-2.347782e-06,5.455086e-04,-9.364308e-03,-1.062732e+00,7.199755e+00
7,2.153116e-17,-1.486359e-04,5.547938e-07,5.455238e-04,4.240207e-01,-1.696900e+00,7.530413e+00
8,3.586261e-18,-1.476556e-04,-1.328648e-05,5.391494e-04,-4.623183e-02,-2.392192e-02,7.956703e+00
9,1.016361e-18,-1.476484e-04,-1.327595e-05,5.319915e-04,-2.008765e-01,-3.771212e-01,5.995039e+00
10,1.867746e-17,-1.314408e-04,-4.499824e-06,5.345683e-04,-8.255238e-01,-8.901520e-01,6.996387e+00
11,1.740695e-18,-1.266960e-04,-1.795837e-05,5.329605e-04,2.352832e-01,-3.429396e-01,3.634732e+00
12,6.813572e-17,-1.454524e-04,4.802028e-06,5.376940e-04,8.983686e-01,2.376324e-02,1.025787e+01
13,2.935785e-18,-1.343776e-04,1.562827e-05,5.360135e-04,-1.971498e-03,1.292297e-02,1.157921e+01
14,2.995063e-17,-1.358300e-04,1.806678e-05,5.487428e-04,3.075905e-01,2.438754e+00,1.679137e+01
15,1.275715e-18,-1.484316e-04,3.919309e-06,5.305150e-04,1.576721e-01,4.686819e-02,9.277727e+00
16,5.042902e-18,-1.335957e-04,1.424625e-06,5.376173e-04,-3.946767e-01,-6.868824e-01,9.081011e+00
17,1.138466e-18,-1.398352e-04,4.697300e-06,5.362933e-04,-1.208590e-02,-8.801865e-02,4.194179e+00
18,2.214708e-19,-1.394561e-04,4.300477e-06,5.290911e-04,-8.364968e-02,7.821974e-02,6.743056e+00
19,5.070524e-18,-1.268033e-04,2.346652e-06,5.292076e-04,5.768588e-02,-9.838975e-03,6.203146e+00
20,4.484276e-18,-1.273432e-04,4.381037e-06,5.372086e-04,-1.422028e-02,1.152996e-01,4.728031e+00
21,4.377298e-18,-1.453130e-04,2.362744e-06,5.449026e-04,-1.384752e-01,-2.923648e-01,1.626068e+00
