droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.980397e-12,1.186539e-07,9.305900e-08,3.852926e-04,-2.882205e-03,-2.681917e-03,-6.150391e-01
2,2.584073e-17,-8.236627e-05,-1.644227e-05,5.027513e-04,9.215726e-01,-3.657705e+00,3.037426e+01
3,5.292771e-17,-8.733159e-05,-1.136520e-05,5.223904e-04,-4.364772e-02,5.006999e-01,9.774847e+00
4,1.955758e-17,-9.759231e-05,-2.113314e-05,5.204610e-04,-1.188268e-01,-6.756346e-01,1.944083e+01
5,1.097793e-18,-8.671967e-05,-4.680027e-06,5.231408e-04,7.964783e-04,-9.089208e-02,5.269265e+00
6,1.576541e-17,-8.266248e-05,-1.722472e-05,5.085531e-04,-1.184091e+00,-4.785144e-01,5.095416e+00
7,3.918564e-18,-7.502239e-05,-1.404021e-05,5.072154e-04,-1.260461e-01,-9.449105e-01,5.761018e+00
8,1.812914e-18,-9.134886e-05,-1.803868e-05,5.027156e-04,-2.854834e-01,5.262836e-02,-6.775518e-01
9,6.513484e-18,-9.110881e-05,-1.406259e-05,5.093700e-04,4.958582e-01,3.662638e-01,4.460103e+00
10,3.677643e-18,-7.793958e-05,-1.169044e-05,5.081926e-04,-5.054313e-01,-5.866749e-01,4.182493e+00
11,2.859954e-18,-9.218589e-05,-1.484095e-05,5.257767e-04,7.128145e-02,-2.705320e-01,5.917509e+00
12,4.683997e-18,-7.500210e-05,-1.795896e-05,5.046098e-04,4.295298e-02,-3.733054e-01,1.103782e+00
13,3.555695e-17,-7.834278e-05,-1.204168e-05,5.264447e-04,9.831040e-02,5.927698e-01,6.146872e+00
14,3.890656e-18,-8.830091e-05,6.591253e-06,5.009969e-04,1.487777e+00,-1.830746e+00,4.669755e+00
15,3.143719e-18,-9.219553e-05,2.384565e-06,5.011204e-04,5.289424e-03,-2.640220e-01,4.532990e+00
16,2.606775e-18,-1.008131e-04,-5.466164e-06,4.807700e-04,-3.831979e-01,-5.158592e-01,6.514013e-01
17,4.430252e-18,-9.612081e-05,-1.954637e-05,4.897588e-04,-3.668803e-01,-5.411262e-01,7.462920e+00
18,1.113981e-18,-9.607764e-05,-1.952598e-05,4.796483e-04,-4.331427e-02,7.991234e-03,1.909294e+00
19,1.959924e-17,-8.499235e-05,-3.191630e-07,4.767652e-04,-3.221381e-01,6.105945e-01,4.200394e-01
