droplet_id,volume,ux,uy,uz,vx,vy,vz
1,1.702250e-17,5.624781e-05,-1.690083e-06,5.050419e-04,-5.776514e-02,-6.224432e-01,9.965755e+00
2,3.359310e-17,7.619371e-05,6.567596e-06,5.168828e-04,-2.239132e+00,-5.619747e-01,1.075933e+01
3,5.684975e-17,5.408892e-05,3.168777e-06,5.060180e-04,1.525455e+00,1.109079e-01,9.466384e+00
4,1.870054e-17,6.145808e-05,1.229887e-05,5.205143e-04,2.649227e+00,9.158958e-01,1.077191e+01
5,2.725448e-19,5.507817e-05,1.132626e-05,5.040095e-04,7.642579e-01,-2.724324e-01,3.052214e-01
6,7.975949e-18,7.187511e-05,7.286585e-06,5.116374e-04,8.569921e-03,-7.557744e-01,7.374712e+00
7,7.824465e-17,5.571409e-05,1.767065e-05,5.235060e-04,-3.101797e-01,-1.345074e-01,5.680026e+00
8,2.914241e-18,5.000809e-05,1.718341e-05,5.157979e-04,-6.047804e-02,-1.649428e-03,2.773393e+00
9,4.963429e-18,7.187712e-05,1.359378e-05,5.028635e-04,-4.794327e-02,-1.162768e+00,9.847692e-01
10,1.747166e-18,6.808517e-05,8.596140e-06,5.030206e-04,-2.140610e-01,2.373696e-01,-5.764069e-01
11,1.332951e-18,7.186920e-05,1.488487e-05,5.063202e-04,-1.116951e-02,-1.112219e+00,6.308381e-01
12,3.381993e-16,7.965790e-05,-1.668620e-06,5.210859e-04,6.305582e-01,-1.260677e+00,1.028217e+01
13,2.597606e-16,5.562382e-05,-6.016901e-06,5.223806e-04,2.031609e-01,-1.730179e+00,1.798076e+01
14,2.565351e-17,5.504988e-05,-6.979739e-06,5.062711e-04,-2.432229e-01,-1.408225e-01,1.387774e+01
15,1.447219e-17,5.381601e-05,-3.565069e-06,5.077000e-04,2.054295e-02,1.959812e-01,1.484870e+01
16,4.609908e-18,5.310799e-05,-6.773582e-06,5.125925e-04,-1.627738e+00,-1.350447e+00,1.756538e+01
17,7.984403e-12,8.393977e-08,5.033746e-08,3.870435e-04,2.475043e-03,7.136368e-03,-5.589554e+00
18,1.186952e-18,7.421943e-05,-8.587662e-06,5.222324e-04,5.736164e-02,-1.827933e-01,5.759907e+00
19,1.788970e-18,9.616463e-05,-2.053438e-06,5.126623e-04,1.555086e+00,1.040177e+00,1.400491e+01
20,3.880705e-18,1.007731e-04,8.589375e-06,5.237521e-04,9.068183e-01,7.260550e-01,6.797947e+00
21,2.928270e-18,8.905859e-05,1.326749e-05,5.112926e-04,2.788187e-01,1.849287e-01,4.174916e+00
22,1.537996e-18,9.683363e-05,3.124818e-06,5.070357e-04,-1.136502e+00,-4.987273e-01,5.621272e+00
23,2.515185e-18,8.437244e-05,9.370435e-06,5.196938e-04,-2.834597e-02,8.613475e-02,4.189589e-01
24,5.040309e-18,8.593396e-05,7.033904e-06,5.325675e-04,5.815451e-02,-5.216401e-01,9.132452e+00
25,1.361952e-18,9.298073e-05,1.250619e-05,5.433877e-04,-1.783411e-01,-2.349567e-02,4.930099e+00
26,1.926827e-17,1.019425e-04,1.348348e-05,5.437580e-04,-6.441442e-01,-6.875108e-01,4.592547e+00
27,4.314611e-18,8.594158e-05,1.484448e-05,5.305386e-04,3.228307e-01,1.036428e-01,5.725729e+00
28,2.571422e-18,8.359314e-05,1.564958e-06,5.292816e-04,-1.127916e-02,-3.093749e-03,3.829198e+00
29,1.061586e-18,9.765455e-05,1.094309e-05,5.332893e-04,1.922550e-02,2.315658e-02,6.847002e-01
30,1.346497e-18,8.982341e-05,9.376331e-06,5.426790e-04,-2.306514e-01,-1.006829e-01,2.480230e+00
31,4.752820e-18,8.252258e-05,-8.545215e-06,5.452604e-04,-6.963722e-01,-2.132492e+00,1.544670e+01
32,9.573068e-18,8.423764e-05,-5.470409e-06,5.402598e-04,-6.005828e-01,8.747655e-03,1.868332e+01
33,7.891794e-19,-5.859681e-06,-1.003907e-04,4.783439e-04,-5.188435e-01,-1.555382e-01,3.628916e+00
34,2.893277e-19,1.171946e-06,-1.019530e-04,4.720712e-04,-1.318220e+00,-1.006990e+00,-2.516713e+00
35,7.846100e-18,1.160492e-05,-1.076836e-04,4.814167e-04,-6.781890e-01,-4.963840e-01,7.329070e+00
36,1.341367e-18,1.164824e-05,-1.074219e-04,4.750407e-04,6.163302e-01,-3.261212e-01,3.454648e-01
37,2.448324e-17,2.409353e-05,2.928237e-05,4.796579e-04,5.122343e-02,-3.644761e-02,6.047813e-01
38,3.708101e-18,1.406114e-05,2.577948e-05,4.786940e-04,5.191661e-01,-7.012084e-01,2.190141e+00
39,4.612175e-18,2.153382e-06,2.816338e-05,4.781771e-04,-5.958386e-01,5.432356e-01,3.846808e+00
40,3.800910e-17,7.815900e-06,4.890584e-05,4.980188e-04,-6.014654e-01,-6.021648e-01,5.265378e+00
41,1.056821e-16,7.666031e-06,4.901210e-05,4.979699e-04,-6.034420e-01,-7.840436e-01,5.039396e+00
42,2.371300e-18,1.335822e-05,4.696923e-05,4.889571e-04,2.832191e+00,6.742752e-02,-1.263611e+00
43,3.803690e-18,7.819493e-07,4.921864e-05,4.849290e-04,6.748313e-01,-3.916435e-01,4.734562e+00
44,3.605237e-17,5.110027e-07,4.960860e-05,4.853058e-04,3.723627e-01,-1.544679e-01,4.843529e+00
45,2.009580e-18,1.330624e-05,2.435376e-05,4.889891e-04,2.433026e-01,-1.935755e-01,3.686562e+00
46,3.042491e-18,1.013255e-05,2.886850e-05,4.973060e-04,-5.744685e-02,-6.090129e-02,1.166364e+00
47,9.501697e-18,1.737636e-06,4.608499e-05,4.883141e-04,-5.199701e-01,7.787744e-03,6.785926e-01
48,2.541724e-17,1.329315e-05,3.928234e-05,4.833109e-04,-6.469722e-01,-6.727778e-02,1.490173e+00
49,3.074772e-18,4.004674e-06,4.150378e-05,4.852901e-04,1.964151e-01,3.778561e-01,-8.769482e-01
50,2.840805e-17,1.620969e-05,4.636137e-05,4.930321e-04,5.823288e-01,-1.131072e+00,9.201680e+00
51,2.838278e-17,1.229430e-06,2.889980e-05,4.888196e-04,-2.254908e+00,1.453992e-01,8.005426e+00
52,2.775599e-18,2.195450e-05,4.851820e-05,4.884580e-04,9.537572e-02,5.985680e-01,2.716034e+00
53,3.178000e-18,3.124054e-06,2.810834e-05,4.841599e-04,-1.728247e+00,1.738574e+00,8.300308e+00
54,5.320159e-18,2.187571e-05,3.749800e-05,5.001539e-04,8.987668e-02,3.540842e-01,6.292419e+00
55,3.679436e-18,4.681123e-06,4.921818e-05,5.031869e-04,-1.788359e-01,-2.764986e-02,1.763617e+00
56,1.448177e-18,8.594534e-06,4.921043e-05,4.822049e-04,6.186508e-02,3.981753e-01,1.862911e+00
57,5.447181e-19,1.680030e-05,4.919230e-05,4.822122e-04,-7.605839e-02,1.584928e+00,6.834645e+00
58,1.322451e-18,4.683628e-06,3.515735e-05,4.923298e-04,1.872301e-02,-7.868228e-02,2.552350e+00
59,3.573536e-18,2.460953e-05,3.828354e-05,4.929602e-04,-1.196265e-02,2.084341e-02,2.003795e+00
60,5.819345e-18,-1.231704e-05,4.767341e-05,4.969011e-04,2.068205e+00,-1.238807e+00,1.550559e+01
61,1.625035e-18,-1.259198e-05,4.540192e-05,5.031099e-04,2.976135e+00,-2.544414e+00,1.960537e+01
62,2.586158e-18,-1.016653e-05,4.922225e-05,5.013709e-04,2.474161e-01,-1.144248e-02,9.864101e+00
63,3.716863e-18,-1.091344e-05,4.925003e-05,4.957526e-04,-1.086190e+00,-4.801609e-01,9.928513e+00
64,1.477436e-18,-1.021322e-05,4.920019e-05,4.884405e-04,1.636857e+00,1.199775e-01,4.824423e+00
65,2.531260e-17,-4.733436e-06,4.631253e-05,5.065231e-04,-9.415410e-01,1.496736e-01,1.876581e+01
66,1.052919e-18,-5.859678e-06,4.257814e-05,4.767471e-04,3.016596e-01,2.300535e+00,5.271109e+00
67,2.574494e-19,-1.133170e-05,4.961054e-05,4.853239e-04,6.935575e-01,-3.008804e+00,1.083374e+00
68,3.261865e-18,2.209136e-09,8.595709e-06,4.771516e-04,2.358962e-01,6.613047e-01,-6.614935e-01
69,3.654581e-18,-2.429808e-04,-2.294713e-06,4.756879e-04,4.317830e-01,-4.822875e-01,-1.939757e+00
70,2.416016e-17,-2.326221e-04,-4.074780e-06,4.762146e-04,7.400319e-01,-2.278407e+00,2.409133e+00
71,3.739978e-17,-2.314069e-04,-1.423702e-05,4.802060e-04,-3.399117e+00,2.183510e+00,6.546358e+00
72,3.034564e-17,-2.263202e-04,-7.089670e-06,4.794044e-04,-4.941610e-01,-1.480095e+00,5.457279e+00
73,1.231720e-18,-2.253906e-04,-5.431749e-06,4.728231e-04,-1.002027e+00,-3.132715e+00,-3.858120e-01
74,2.892541e-19,-2.316408e-04,-4.296444e-06,4.728530e-04,2.570454e+00,-2.457738e+00,2.534004e+00
75,4.927003e-18,-2.007654e-04,6.370964e-06,4.776212e-04,-3.708117e-01,1.651279e-01,2.784900e+00
76,2.452304e-18,-2.224547e-04,9.359985e-06,4.760162e-04,8.234849e-01,-5.269622e-01,4.162471e+00
77,1.405812e-18,-2.277333e-04,7.730082e-06,4.758216e-04,3.319885e+00,-1.802895e-01,4.317245e+00
78,2.654304e-18,-2.286121e-04,7.810434e-06,4.805551e-04,2.089478e+00,2.247157e-01,1.038615e+01
79,2.294541e-18,-2.343672e-04,1.015347e-05,4.770934e-04,4.944869e-01,4.745599e-02,2.171077e+00
80,1.773227e-18,-2.496096e-04,5.409157e-06,4.766015e-04,-9.707769e-02,3.593882e-01,3.884731e+00
81,4.746332e-18,2.453210e-04,1.405259e-05,4.994833e-04,-3.597873e-01,-3.523166e-01,1.107960e+01
82,1.400844e-18,2.496093e-04,7.819504e-07,5.037045e-04,4.296651e-02,4.753401e-01,1.539262e+01
83,1.538287e-18,2.496091e-04,1.248296e-05,4.935325e-04,1.776297e-01,-3.421216e-01,8.315267e+00
84,8.141725e-19,2.496091e-04,7.807290e-07,5.001174e-04,1.693893e-01,1.997431e-01,1.308789e+01
85,5.100525e-19,2.261720e-04,1.563431e-05,4.845437e-04,1.493589e+00,7.290300e-01,1.469299e+01
86,2.378493e-18,2.453950e-04,1.334987e-05,4.863783e-04,8.265390e-02,-8.881240e-01,4.678264e+00
87,2.430050e-18,2.282284e-04,1.094664e-05,4.844800e-04,8.255466e-01,1.578679e+00,1.091542e+01
88,1.652054e-18,2.343751e-04,9.374403e-06,5.009155e-04,3.555321e-03,2.658996e-02,5.153767e+00
89,7.167084e-19,2.285158e-04,8.204185e-06,4.802442e-04,-3.191119e-01,6.330890e-02,7.504179e+00
90,2.107607e-18,2.496097e-04,1.016479e-05,4.829524e-04,1.581965e-02,1.992611e-02,3.592376e+00
91,2.278749e-18,2.496095e-04,7.977479e-07,4.954794e-04,1.331936e-02,3.342705e-01,1.147022e+01
92,3.869136e-18,2.258108e-04,7.846085e-06,4.828626e-04,4.672377e-01,5.180874e-01,2.565016e+00
93,4.815728e-19,2.261741e-04,1.523505e-05,4.794747e-04,-1.075593e+00,2.844464e+00,6.849771e+00
94,2.064258e-17,2.304717e-04,-1.945610e-06,5.024112e-04,6.420714e-02,1.762101e+00,7.740189e+00
95,1.651010e-18,2.280640e-04,8.984327e-06,4.784817e-04,2.558078e-02,1.830802e-01,5.329831e+00
96,3.438396e-18,2.281196e-04,7.669845e-06,4.762162e-04,1.248345e+00,6.923132e-02,4.629671e+00
97,6.645767e-18,2.256786e-04,2.347250e-06,4.842592e-04,-1.548983e+00,-1.254565e-01,2.172069e+00
98,4.487644e-18,2.496097e-04,1.719036e-05,4.871602e-04,-3.602158e-02,-2.270487e-01,1.003640e+01
99,8.428842e-18,2.496094e-04,7.803102e-07,4.842963e-04,5.219889e-02,-1.885120e-02,5.624898e+00
100,1.462600e-18,2.496107e-04,1.719267e-05,4.771938e-04,-1.080622e-02,-1.533992e-03,2.686437e+00
101,2.611430e-19,2.238273e-04,5.863904e-06,4.837695e-04,-2.029930e-01,-2.955141e-01,-7.130234e-01
