droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.981573e-12,2.452857e-08,1.040896e-07,3.870207e-04,9.803665e-04,4.998977e-03,-5.730416e+00
2,3.004046e-17,-1.852599e-04,1.074418e-05,5.024549e-04,-1.097901e+00,-1.098359e-01,1.899630e+01
3,1.497695e-17,-1.860828e-04,1.261550e-05,4.887304e-04,2.799978e+00,-2.208929e+00,1.140633e+01
4,1.484058e-17,-1.739588e-04,6.730117e-06,4.845772e-04,-6.635761e-01,-1.251407e+00,1.066264e+00
5,5.351161e-18,-1.835990e-04,6.246264e-06,4.970122e-04,2.863670e-01,3.028350e-01,1.413081e+01
6,2.227073e-17,-1.754714e-04,1.006848e-06,5.030378e-04,1.099655e+00,6.323160e-01,1.549085e+01
7,3.460716e-18,-1.889588e-04,1.563167e-05,4.807769e-04,4.895912e-01,1.715020e-01,8.295201e+00
8,2.089622e-18,-1.968977e-04,1.344775e-05,4.905341e-04,-2.352759e-02,9.467843e-01,8.655660e+00
9,1.201584e-17,-1.944388e-04,7.824207e-06,4.962153e-04,1.435487e-01,1.769267e-01,6.916238e+00
10,5.150673e-18,-1.836208e-04,9.897386e-06,4.977535e-04,-1.896685e-01,3.517703e-01,2.065184e+01
11,7.861874e-18,-1.989095e-04,9.360857e-06,4.870129e-04,-5.122155e-01,1.443504e-01,6.554695e+00
12,1.153107e-17,-2.013783e-04,3.103508e-06,4.864043e-04,-6.623451e-01,-7.325197e-01,7.760430e+00
13,2.768778e-18,-1.868002e-04,1.569325e-05,4.842422e-04,1.588902e+00,-1.886715e-01,9.219743e+00
14,6.007525e-19,-1.991491e-04,9.768427e-06,4.977863e-04,1.592585e+00,-3.313509e-01,1.622202e+01
15,8.323101e-19,-1.928149e-04,6.132031e-06,4.783058e-04,-3.159468e-03,3.361649e-01,1.175434e+00
16,3.117874e-18,-1.937513e-04,1.562136e-05,5.005926e-04,-2.665837e-03,2.296100e-02,2.977637e+00
17,3.251806e-18,-1.836488e-04,6.242217e-06,4.827112e-04,5.900293e-02,4.460188e-01,5.196222e+00
18,7.269698e-18,-1.773503e-04,-3.684348e-07,4.891867e-04,-6.697042e-02,-4.949511e-01,8.817455e+00
19,3.389712e-18,-1.890582e-04,1.719197e-05,4.911833e-04,-3.112706e-01,9.262749e-02,1.814839e+00
20,5.588761e-18,-1.937505e-04,7.814856e-06,4.907644e-04,-5.680266e-02,-8.582044e-02,7.238394e+00
21,1.508570e-18,-2.008367e-04,6.230204e-06,4.790838e-04,-5.996500e-01,4.474765e-01,-5.879047e-01
22,2.464828e-19,-1.792971e-04,8.204950e-06,4.938933e-04,-2.536535e-01,9.943236e-01,1.039289e+01
23,2.149811e-18,-1.967729e-04,1.327648e-05,4.734155e-04,-3.635675e-01,1.636820e-01,-1.460962e+00
