droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.991734e-12,7.495707e-08,2.655782e-08,3.871618e-04,2.112898e-03,6.811705e-03,-5.866331e+00
2,1.940735e-18,-3.909033e-06,-5.167301e-05,4.689759e-04,3.602384e-01,-4.876343e-01,-6.685075e+00
3,2.831415e-18,-1.329256e-05,-6.437972e-05,4.789772e-04,-1.286190e-01,-6.996877e-02,2.532192e+00
4,3.238249e-19,-5.078381e-06,-7.226611e-05,4.720958e-04,2.811332e+00,-2.069295e+00,-1.665912e+00
5,2.898694e-19,-1.367075e-05,-6.523299e-05,4.720949e-04,2.579802e-01,-9.202224e-01,-1.027209e+00
6,1.716685e-18,3.209608e-06,-5.166165e-05,4.714485e-04,-5.928379e-01,-9.224044e-02,-2.582984e-01
7,7.697171e-19,1.172078e-06,-6.420216e-05,4.786001e-04,-1.085579e-01,-2.735854e+00,7.860465e+00
8,9.560330e-19,1.953081e-06,-6.415434e-05,4.773556e-04,2.267101e+00,-3.710171e+00,6.299274e+00
9,2.493973e-19,-8.204124e-06,-8.164136e-05,4.752196e-04,1.594225e-01,-8.888322e-01,-1.009013e+00
10,2.106673e-17,1.689805e-05,-8.209010e-05,4.801329e-04,-3.740836e-01,2.039218e+00,4.986652e+00
11,3.641299e-19,8.985698e-06,-8.163911e-05,4.775630e-04,-4.634904e-01,-1.285989e-01,2.791035e+00
12,6.507763e-17,1.091643e-05,-8.035764e-05,4.877128e-04,1.450561e+00,-9.473702e-01,5.859138e+00
13,1.995453e-18,1.882166e-04,1.322956e-05,4.778633e-04,4.776020e-01,6.498175e-01,-2.685091e+00
14,7.902285e-19,1.808572e-04,1.326221e-05,4.736562e-04,-1.838427e+00,-7.155224e-01,-4.869070e+00
15,1.713478e-17,1.724655e-04,1.024937e-05,4.787287e-04,6.667528e-01,3.945856e+00,-1.411588e+00
16,2.849693e-19,1.550774e-04,5.860644e-06,4.775620e-04,-8.794744e-01,-2.656225e+00,2.572727e+00
17,2.687169e-19,1.542964e-04,5.859026e-06,4.759988e-04,-1.829326e+00,-1.971107e+00,4.596552e-01
18,9.633804e-19,1.542965e-04,6.640556e-06,4.744967e-04,-4.322847e-01,5.277766e-01,-2.340561e+00
19,2.399640e-19,1.550786e-04,7.421347e-06,4.736628e-04,-1.951632e+00,1.228083e+00,-2.227851e+00
