droplet_id,volume,ux,uy,uz,vx,vy,vz
1,3.373517e-17,-1.265681e-04,2.282146e-06,5.102977e-04,9.795010e-01,-9.189428e-01,6.222220e+00
2,6.926547e-18,-1.240488e-04,2.165731e-05,5.224805e-04,-5.140685e-01,-3.889367e-01,-7.612918e-02
3,7.799533e-18,-1.507779e-04,1.012614e-05,5.110702e-04,7.711053e-01,-1.502277e+00,4.194682e+00
4,1.543855e-18,-1.484356e-04,4.022670e-06,5.202136e-04,6.862815e-02,-1.297860e-01,9.339429e+00
5,1.830234e-18,-1.484325e-04,3.796850e-06,5.159862e-04,2.509617e-02,3.732703e-01,9.293410e+00
6,2.408734e-18,-1.289040e-04,-7.789584e-07,5.036230e-04,-2.112882e-02,1.201102e-03,5.365529e+00
7,6.477123e-18,-1.345992e-04,1.562319e-05,5.093540e-04,-3.834231e-01,-2.344806e-01,6.320353e+00
8,3.309603e-18,-1.445334e-04,8.583538e-06,5.200476e-04,2.035633e-01,-2.635646e-01,6.107570e+00
9,4.072115e-18,-1.367457e-04,-5.885598e-07,5.027075e-04,8.984502e-03,2.767504e-01,3.655301e+00
10,2.287242e-18,-1.398399e-04,4.687029e-06,5.150323e-04,-4.952450e-02,-2.397885e-01,4.899352e+00
11,4.085378e-18,-1.435919e-04,7.813756e-06,5.036122e-04,-6.146550e-01,-2.619576e-01,4.856379e+00
12,4.634204e-18,-1.406518e-04,2.032607e-05,5.283207e-04,1.770936e-01,-7.439367e-01,7.434284e+00
13,3.272513e-18,-1.444945e-04,2.913097e-06,5.034640e-04,3.838198e-01,7.853685e-01,3.420658e+00
14,4.416613e-18,-1.398428e-04,4.688841e-06,5.094770e-04,-1.933840e-02,-1.478942e-01,4.661786e+00
15,3.084950e-18,-1.421908e-04,7.807835e-06,5.158526e-04,1.317976e-01,1.303001e-01,2.746916e+00
16,2.209860e-16,-1.297554e-04,-9.022888e-06,5.406465e-04,-6.529837e-01,-3.486128e-01,1.094106e+01
17,7.024484e-16,-1.484679e-04,-1.133905e-05,5.397640e-04,-4.183145e-01,-3.529065e-01,6.312456e+00
18,1.515741e-16,-1.264098e-04,1.386098e-05,5.444186e-04,3.420874e-01,6.356118e-01,7.412576e+00
19,2.077599e-17,-1.486739e-04,6.427663e-07,5.450950e-04,4.209337e-01,-1.702926e+00,7.530128e+00
20,7.123513e-18,-1.429778e-04,-1.052840e-05,5.455531e-04,1.333079e+00,3.598640e-01,8.719983e+00
21,3.127164e-18,-1.476239e-04,-1.325746e-05,5.386382e-04,-8.052850e-02,-2.936486e-02,7.896112e+00
22,3.165330e-18,-1.437501e-04,-2.344006e-06,5.450860e-04,-2.461993e-02,-1.007399e+00,7.251327e+00
23,8.893125e-19,-1.474567e-04,-1.308495e-05,5.313524e-04,-1.853793e-01,-1.810501e-01,6.079135e+00
24,1.811677e-17,-1.313736e-04,-4.473147e-06,5.343118e-04,-8.118202e-01,-9.005204e-01,6.982018e+00
25,1.780662e-18,-1.266902e-04,-1.786520e-05,5.326687e-04,-1.897673e-01,-3.796786e-02,3.687440e+00
26,6.647980e-17,-1.454681e-04,4.789946e-06,5.371993e-04,8.747121e-01,-9.401679e-03,1.026141e+01
27,3.866348e-17,-1.358785e-04,1.769372e-05,5.483166e-04,2.753963e-01,2.257789e+00,1.578233e+01
28,1.296558e-18,-1.484405e-04,3.914080e-06,5.304142e-04,1.611268e-01,5.669115e-02,9.292554e+00
