droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.979819e-12,1.908549e-08,8.676732e-08,3.865066e-04,3.700867e-03,9.231611e-03,-9.536506e+00
2,5.917943e-19,2.273575e-04,5.859172e-06,4.746801e-04,2.459376e+00,-8.658571e-01,2.710931e+00
3,2.443544e-19,2.457041e-04,1.992062e-05,4.762350e-04,3.124066e-01,-1.243015e+00,1.718844e+00
4,1.772155e-17,2.492947e-04,-1.086349e-05,4.755439e-04,-5.229226e-01,9.613776e-02,2.196208e+00
5,2.558543e-19,2.214844e-04,3.906753e-07,4.731248e-04,4.190514e-01,1.974227e-01,-1.875916e+00
6,1.358847e-18,2.125326e-04,1.016154e-05,4.746747e-04,1.126127e+00,1.312820e-01,-9.853003e-01
7,3.050982e-18,2.054684e-04,1.718262e-05,4.751146e-04,6.812750e-01,7.140618e-01,7.566611e-01
8,1.552850e-18,-2.210919e-04,9.372125e-06,5.019713e-04,4.577404e-01,1.013964e-01,8.048576e+00
9,6.094934e-18,-2.308167e-04,6.912467e-06,5.076190e-04,-1.436609e+00,1.093831e+00,1.182247e+01
10,8.941094e-18,-2.242264e-04,2.312641e-06,5.073101e-04,-6.000128e-02,-3.951347e-01,1.038529e+01
11,4.419262e-18,-2.246627e-04,8.631067e-06,5.198333e-04,2.147061e+00,7.637055e-01,9.105579e+00
12,1.456942e-17,-2.263394e-04,1.235884e-05,5.024751e-04,-6.185435e-02,-2.420515e-01,8.789427e+00
13,1.085603e-17,-2.245726e-04,2.399877e-05,5.223505e-04,3.173435e-01,8.184351e+00,6.567841e+00
14,2.809790e-18,-2.437494e-04,1.953156e-05,5.062010e-04,2.594148e-02,-6.163653e-01,5.227837e+00
15,1.165287e-17,-2.461920e-04,2.191183e-05,5.148438e-04,-1.676935e+00,1.377322e-02,2.710444e+00
16,3.285782e-18,-2.281235e-04,1.482460e-05,5.176539e-04,1.175662e-01,-1.172285e+00,1.941325e+00
17,2.257282e-16,-1.972791e-04,2.932553e-06,5.218803e-04,5.639117e-03,1.878560e-01,7.972082e+00
18,1.169644e-18,-2.226088e-04,2.363829e-06,5.034931e-04,1.857377e-01,5.019138e-01,9.882746e+00
19,9.130148e-17,-2.486732e-04,6.810685e-06,5.341808e-04,5.324530e-02,6.267781e-01,8.673645e+00
20,2.272224e-18,-2.496078e-04,2.345395e-05,5.424726e-04,-7.681124e-02,-1.778932e-01,8.553925e+00
21,1.057603e-17,-2.356238e-04,1.461317e-05,5.493124e-04,-4.507410e+00,-5.417462e-01,1.169151e+01
22,1.154159e-17,-2.492841e-04,1.493558e-05,5.343171e-04,-4.670863e-02,5.030937e-01,8.606813e+00
23,4.566148e-18,-2.309422e-04,2.344294e-06,5.370155e-04,5.633055e-01,-5.719339e-02,5.878720e+00
24,2.301791e-19,-2.496024e-04,4.294028e-06,5.388357e-04,7.830032e-03,-1.417945e-01,1.390351e+00
25,2.092868e-17,-2.376492e-04,1.879364e-05,5.295250e-04,-1.648209e-01,1.323186e+00,5.396075e+00
26,1.594048e-18,-2.496071e-04,-7.815303e-06,5.414068e-04,-1.159957e-01,-9.181797e-02,9.963804e+00
27,4.932775e-19,-2.242192e-04,-8.202525e-06,5.180158e-04,-1.896147e-01,-6.200401e-01,8.733606e+00
28,2.915151e-18,-2.365650e-04,-2.343206e-06,5.117804e-04,-1.000968e+00,-5.820739e-02,7.412606e+00
29,2.979558e-18,-2.304701e-04,-4.689420e-06,5.038302e-04,-2.719856e-02,-6.014075e-02,1.122846e+01
30,2.606712e-19,-2.410146e-04,-6.638608e-06,5.256569e-04,1.383370e+00,1.275543e-01,1.080840e+00
31,2.620367e-17,-2.151668e-04,-1.348432e-06,5.007804e-04,6.013012e-02,1.014110e+00,6.144379e+00
32,3.433927e-17,-2.016143e-04,-1.229008e-05,5.025566e-04,-1.666255e+00,-2.617952e-01,4.730094e+00
33,2.305522e-17,-2.029797e-04,-1.787234e-05,5.167793e-04,-1.244375e-01,5.139486e-01,5.113466e+00
34,3.708116e-17,-2.222720e-04,-3.272000e-06,5.183351e-04,1.074600e+00,9.107238e-01,3.406654e+00
35,3.518224e-18,-2.187506e-04,-1.015558e-05,5.260355e-04,-8.931012e-02,-2.991569e-01,1.014598e+01
36,7.650182e-19,-2.134106e-04,-1.732543e-05,5.135124e-04,1.386006e-01,8.692998e-01,-1.634548e-01
37,8.739683e-18,-2.182229e-04,-1.015567e-05,5.103970e-04,4.182804e-01,-3.451436e-01,7.624259e+00
38,1.419162e-18,-2.039056e-04,-2.341768e-06,5.157133e-04,-3.521626e-02,6.774090e-02,5.076221e+00
39,1.462300e-18,-2.109326e-04,-8.584707e-06,5.195870e-04,-7.331082e-02,5.695078e-02,2.103499e+00
40,1.046858e-17,-2.056007e-04,-1.410729e-05,5.098022e-04,-3.974834e-02,-3.593619e-01,3.325206e+00
41,4.614385e-18,-2.187561e-04,-1.015653e-05,5.217115e-04,-2.364489e-01,-4.788901e-01,9.668227e+00
42,8.484092e-19,-2.056198e-04,-1.340628e-05,5.050485e-04,3.716518e-02,-2.215061e-01,2.207847e+00
43,3.010760e-18,-1.773997e-05,2.496088e-04,5.029309e-04,1.133025e-01,1.829177e-01,1.598628e+01
44,7.617729e-18,-1.015703e-05,2.250004e-04,4.781991e-04,-1.351374e+00,3.168310e-01,1.425557e+00
45,8.195182e-17,-1.058683e-05,2.249096e-04,4.784060e-04,-1.201437e+00,2.588878e-01,9.951011e-01
46,1.156041e-17,-8.029129e-07,2.265410e-04,5.000474e-04,-2.261234e-01,3.151128e-02,8.051533e+00
47,7.134086e-17,-1.332599e-05,2.283893e-04,4.865947e-04,1.053862e+00,3.233278e-01,9.535109e+00
