droplet_id,volume,ux,uy,uz,vx,vy,vz
1,7.976985e-12,9.141090e-08,8.147308e-08,3.853661e-04,-8.074713e-03,-1.003651e-02,5.862686e+00
2,3.298322e-17,1.774590e-04,-6.347058e-06,4.821811e-04,4.570830e-01,4.896460e-01,8.516121e+00
3,1.199819e-18,1.902350e-04,1.038920e-05,4.774210e-04,5.486519e-03,6.440724e-02,8.916584e-01
4,3.605925e-19,1.878913e-04,1.210879e-05,4.728106e-04,5.323574e-01,-9.716124e-01,-2.931838e+00
5,2.535740e-19,1.894530e-04,5.078166e-06,4.767091e-04,7.876483e-01,1.882033e+00,-3.544008e+00
6,2.940929e-17,1.536052e-04,-7.610178e-06,4.811618e-04,-3.308112e-02,1.085085e+00,5.727031e-01
7,2.694435e-18,-9.379278e-06,-1.499963e-04,4.902753e-04,7.277069e-02,-8.681170e-01,3.318868e+00
8,6.579930e-18,-1.250280e-05,-1.499990e-04,4.951142e-04,4.256320e-02,-1.395004e-01,6.926772e+00
9,2.091214e-17,-4.731474e-06,-1.491210e-04,4.929720e-04,-4.980490e-01,-6.338073e-01,1.703861e+00
10,1.197203e-18,7.423180e-06,-1.757579e-04,4.802047e-04,-1.622724e-01,-7.235367e-01,-1.719810e+00
11,3.070075e-17,-2.402439e-05,-1.574937e-04,4.814860e-04,-1.320773e-02,2.478078e-02,-7.788887e-01
12,2.457271e-19,-1.757899e-05,-1.605463e-04,4.884289e-04,-1.982954e-01,1.047979e+00,6.666890e-01
13,2.548851e-19,-8.204032e-06,-1.667962e-04,4.774933e-04,1.082485e+00,-5.944440e-01,1.031279e+00
14,1.543053e-18,-1.040287e-05,-1.617858e-04,4.881059e-04,4.150544e-01,-3.571483e-01,9.764773e+00
15,1.201824e-18,-5.476739e-06,-1.695281e-04,4.915329e-04,2.772811e-02,2.214287e-01,8.954812e-01
16,2.800450e-18,-1.487173e-05,-1.710983e-04,5.020487e-04,2.243599e-02,2.807549e-01,2.678214e+00
17,3.017289e-18,-1.013171e-05,-1.633325e-04,4.895980e-04,5.871519e-01,-5.936398e-01,7.715845e+00
18,5.241331e-19,-1.054739e-05,-1.675779e-04,4.715971e-04,3.599597e+00,1.797501e+00,-3.715330e+00
19,2.394620e-19,-7.421326e-06,-1.667961e-04,4.735870e-04,-3.844962e-01,4.421145e+00,-1.346526e+00
20,2.934303e-18,1.281195e-04,-1.249266e-05,4.762693e-04,5.157946e-01,-4.014605e-01,2.984699e+00
21,1.954887e-18,1.492653e-04,-4.751028e-06,5.007852e-04,-3.336756e-01,4.328587e-01,9.360806e+00
22,2.025511e-17,1.509464e-04,-1.738218e-06,5.019299e-04,-2.240681e-01,8.786262e-01,7.182477e+00
23,4.952765e-17,1.314103e-04,-4.546452e-06,4.885536e-04,9.264772e-01,1.101974e-01,1.759282e+00
