droplet_id,volume,mass,ux,uy,uz,vx,vy,vz
277,3.281330e-18,3.271486e-15,1.453150e-04,-7.004563e-06,5.152509e-04,2.109988e-01,3.717874e+00,7.960278e+00
283,4.451209e-18,4.437855e-15,1.632946e-04,-1.583941e-05,5.289953e-04,3.855987e-01,-4.458321e-01,1.897750e+01
289,1.137630e-18,1.134217e-15,1.507732e-04,1.562851e-05,5.483582e-04,4.516879e-01,1.939464e-01,2.560641e+00
295,1.661579e-17,1.656595e-14,1.046102e-04,1.293120e-05,5.050646e-04,-5.775025e-02,-1.549605e+00,1.022934e+01
301,7.817818e-18,7.794365e-15,1.031254e-04,-3.516751e-06,4.987752e-04,3.195281e-02,1.530838e+00,7.571788e+00
307,3.330611e-18,3.320619e-15,1.031230e-04,-5.480549e-06,4.953093e-04,1.283283e-01,-5.944763e-02,9.433938e+00
313,1.792497e-18,1.787120e-15,1.320317e-04,-2.460950e-05,4.969143e-04,-6.703539e-02,-6.405569e-03,3.567483e+00
319,2.062649e-18,2.056462e-15,1.609448e-04,-4.696011e-06,5.352499e-04,-8.619816e-02,6.412844e-02,7.182203e+00
325,2.098191e-18,2.091897e-15,1.290114e-04,1.561239e-05,5.097821e-04,-8.850290e-02,-3.235495e-01,1.118023e+00
331,1.487158e-16,1.482697e-13,1.663923e-04,-1.229409e-06,5.317828e-04,-5.032021e-01,-4.351793e-02,7.638822e+00
337,1.157773e-18,1.154300e-15,1.343752e-04,-7.790451e-07,5.026650e-04,1.059607e-02,1.365822e-01,5.098915e+00
343,6.236041e-17,6.217333e-14,1.112782e-04,-6.717736e-06,4.932669e-04,8.569232e-01,2.157742e+00,4.717950e+00
355,8.225429e-19,8.200752e-16,1.048084e-04,1.547505e-05,4.988361e-04,3.418505e-01,-6.815000e-01,7.993654e+00
361,3.451645e-17,3.441290e-14,1.472639e-04,-5.936366e-06,5.025521e-04,1.831185e+00,3.177231e+00,1.029809e+01
367,5.496802e-18,5.480312e-15,1.430489e-04,-1.005959e-05,4.980430e-04,1.374560e+00,8.529569e-02,9.123177e+00
373,7.898608e-19,7.874912e-16,1.451742e-04,-3.774256e-06,5.126023e-04,1.240951e-01,-1.659741e-01,1.278918e+01
