droplet_id,volume,ux,uy,uz,vx,vy,vz
1,6.795613e-17,-2.675445e-05,1.375835e-06,5.221853e-04,2.153005e-01,-4.770478e-02,8.870291e+00
2,6.818074e-18,-2.624405e-05,1.638978e-05,5.158068e-04,-1.332276e+00,5.532176e-01,5.426638e-01
3,5.387500e-16,-4.970196e-05,1.016510e-06,5.297262e-04,-2.480135e-02,1.262184e-01,9.442927e+00
4,3.928115e-17,-4.558726e-05,1.309119e-05,5.401293e-04,-3.331579e-01,2.554623e-01,6.621142e+00
5,6.198239e-17,-3.137449e-05,5.126668e-06,5.382760e-04,1.310982e-01,1.351999e-01,5.244109e+00
6,4.682734e-18,-3.281561e-05,1.327998e-05,5.340334e-04,-3.035124e-01,4.550541e-02,7.107417e+00
7,3.036122e-18,-3.828453e-05,1.873925e-05,5.329810e-04,-3.579019e-02,-3.726185e-01,6.946082e+00
8,1.126621e-18,-4.121259e-05,1.660159e-05,5.387879e-04,8.817557e-02,6.735576e-02,3.081243e+00
9,1.456812e-18,-3.828396e-05,1.863066e-05,5.433197e-04,6.411675e-02,-1.044449e-01,1.038225e+00
10,1.259123e-18,-3.828482e-05,1.873988e-05,5.356302e-04,1.770408e-02,3.475628e-01,1.783798e-01
11,1.515131e-18,-3.592653e-05,4.685599e-06,5.392968e-04,-1.652659e-01,-8.066079e-03,2.326740e+00
12,5.686478e-16,-3.732547e-05,-7.519016e-06,5.390820e-04,-2.577707e-01,6.865579e-02,1.218878e+01
13,2.315863e-17,-4.400584e-05,-1.775898e-05,5.247050e-04,2.269555e+00,6.620255e-01,5.080234e+00
14,1.177367e-17,-3.431722e-05,-1.809850e-05,5.299214e-04,-1.341588e-02,7.699430e-01,1.552145e+01
15,1.254438e-17,-3.516945e-05,-1.405147e-05,5.322538e-04,1.003718e-01,-1.417112e-01,1.319037e+01
16,5.288981e-18,-4.530764e-05,-9.371797e-06,5.341357e-04,-1.546803e-01,-1.185216e-01,1.818288e+01
17,3.656318e-18,-3.437617e-05,-1.891275e-05,5.359228e-04,-5.749174e-02,9.004328e-01,1.520843e+01
18,5.068280e-18,-3.436885e-05,-2.187813e-05,5.430376e-04,5.398660e-02,3.180653e-01,1.639327e+01
19,1.599744e-17,-2.532024e-05,-7.688180e-06,5.288641e-04,-3.277390e-01,-8.746078e-02,8.511472e+00
20,2.778828e-18,-2.578089e-05,-6.254071e-06,5.418314e-04,8.789160e-03,-1.411204e-01,7.141594e+00
